■ 개봉일람_월별,,,,,,,,,,,,,,,,,
- 조회일: 2021-03-18,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2020~2021   국적 : 전체   영화명 : 전체   개봉일 : 전체   영화구분 : 전체   영화유형 : 개봉영화    ],,,,,,,,,,,,,,,,,
<,,,,,,,,,,,,,,,,,
순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
,,,,,,,,,,스크린수,매출액,관객수,매출액,관객수,,,
1,담보,강대규,"(주)제이케이필름,(주)레드로버,씨제이이앤엠(주),(주)영화사연",,씨제이이앤엠(주),2020-09-29,개봉영화,장편,한국,"1,342","14,750,480,550","1,719,777","2,689,581,450","305,921",드라마,12세이상관람가,일반영화
2,삼진그룹 영어토익반,이종필,더램프(주),,롯데컬처웍스(주)롯데엔터테인먼트,2020-10-21,개봉영화,장편,한국,"1,616","13,986,138,870","1,571,820","3,946,153,940","444,282",드라마,12세이상관람가,일반영화
3,도굴,박정배,(주)싸이런픽쳐스,,씨제이이앤엠(주),2020-11-04,개봉영화,장편,한국,"1,635","13,947,664,670","1,543,775","3,235,832,320","355,865",범죄,12세이상관람가,일반영화
4,테넷,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2020-08-26,개봉영화,장편,미국,"2,228","11,962,885,850","1,284,073","4,596,473,470","464,556",액션,12세이상관람가,일반영화
5,소울,피트 닥터,"월트 디즈니 픽쳐스,픽사 애니메이션 스튜디오",월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-01-20,개봉영화,장편,미국,"2,018","7,936,332,910","875,001","2,578,880,980","275,009",애니메이션,전체관람가,일반영화
6,원더 우먼 1984,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2020-12-23,개봉영화,장편,미국,"2,260","4,935,655,460","546,550","1,457,693,500","154,656",액션,12세이상관람가,일반영화
7,국제수사,김봉한,(주)영화사장춘,,(주)쇼박스,2020-09-29,개봉영화,장편,한국,"1,074","4,496,549,760","537,470","868,003,360","103,185",코미디,15세이상관람가,일반영화
8,이웃사촌,이환경,"(주)시네마허브,환타지엔터테인먼트",,"(주)리틀빅픽쳐스,(주)트리니티픽쳐스",2020-11-25,개봉영화,장편,한국,"1,363","3,708,223,750","431,382","775,803,000","91,262",드라마,12세이상관람가,일반영화
9,소리도 없이,홍의정,"(주)루이스 픽쳐스,(주)브로콜리픽쳐스",,(주)에이스메이커무비웍스,2020-10-15,개봉영화,장편,한국,"1,084","3,558,622,900","403,432","843,075,990","93,396",범죄,15세이상관람가,일반영화
10,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",,씨제이포디플렉스 주식회사,,씨제이포디플렉스 주식회사,2020-09-29,개봉영화,장편,한국,106,"3,129,974,000","102,008","986,730,500","31,301",공연,전체관람가,일반영화
11,오! 문희,정세교,(주)빅스톤픽쳐스,,CGV아트하우스,2020-09-02,개봉영화,장편,한국,"1,110","2,798,758,600","351,162","591,354,210","73,973",코미디,12세이상관람가,일반영화
12,그린랜드,릭 로먼 워,,(유)조이앤시네마,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",2020-09-29,개봉영화,장편,미국,779,"2,777,724,520","325,869","679,646,010","79,147",액션,12세이상관람가,일반영화
13,런,아니쉬 차간티,,(주)올스타엔터테인먼트,(주)올스타엔터테인먼트,2020-11-20,개봉영화,장편,미국,799,"2,603,262,370","283,573","803,179,720","86,674",미스터리,15세이상관람가,일반영화
14,내가 죽던 날,박지완,오스카10스튜디오,,워너브러더스 코리아(주),2020-11-12,개봉영화,장편,한국,909,"2,135,396,020","233,112","549,836,600","58,772",드라마,12세이상관람가,일반영화
15,뮬란,니키 카로,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2020-09-17,개봉영화,장편,미국,"1,420","2,079,737,620","236,247","600,704,000","65,400",어드벤처,12세이상관람가,일반영화
16,조제,김종관,볼미디어(주),,워너브러더스 코리아(주),2020-12-10,개봉영화,장편,한국,"1,179","1,884,431,540","209,988","468,226,490","51,461",멜로/로맨스,15세이상관람가,일반영화
17,극장판 귀멸의 칼날: 무한열차편,소토자키 하루오,,에스엠지홀딩스 주식회사,워터홀컴퍼니(주),2021-01-27,개봉영화,장편,일본,380,"1,820,102,670","206,309","507,360,670","54,677",애니메이션,15세이상관람가,일반영화
18,검객,최재훈,오퍼스픽쳐스(유),,"(주)키위미디어그룹,오퍼스픽쳐스(유)",2020-09-23,개봉영화,장편,한국,832,"1,619,781,870","190,237","315,861,680","36,965",액션,15세이상관람가,일반영화
19,미스터트롯: 더 무비,전수경,(주)영화사 그램,,(주)영화사 그램,2020-10-22,개봉영화,장편,한국,449,"1,288,613,100","150,094","356,326,100","41,283",공연,전체관람가,일반영화
20,브레이크 더 사일런스: 더 무비,박준수,빅히트쓰리식스티,,CGV ICECON,2020-09-24,개봉영화,장편,한국,205,"1,160,249,000","131,693","377,329,000","41,301",다큐멘터리,전체관람가,일반영화
21,언힌지드,데릭 보트,,(주)누리픽쳐스,"(주)누리픽쳐스,(주)영화특별시에스엠씨",2020-10-07,개봉영화,장편,미국,676,"1,016,037,190","118,112","302,552,340","35,166",스릴러,청소년관람불가,일반영화
22,디바,조슬예,"영화사올(주),팔팔애비뉴(주)",,메가박스중앙(주)플러스엠,2020-09-23,개봉영화,장편,한국,831,"901,717,350","108,122","258,175,260","31,164",스릴러,15세이상관람가,일반영화
23,기기괴괴 성형수,조경훈,"(주)에스에스애니멘트 ,(주)스튜디오 애니멀",,(주)트리플픽쳐스,2020-09-09,개봉영화,장편,한국,276,"871,629,560","103,251","287,238,540","36,203",공포(호러),15세이상관람가,독립/예술영화
24,죽지않는 인간들의 밤,신정원,"(주)브라더픽쳐스,TCO(주)더콘텐츠온",,TCO(주)더콘텐츠온,2020-09-29,개봉영화,장편,한국,570,"840,217,440","101,616","234,955,440","27,911",코미디,15세이상관람가,일반영화
25,다만 악에서 구하소서,홍원찬,(주)하이브미디어코프,,씨제이이앤엠(주),2020-08-05,개봉영화,장편,한국,"1,998","832,560,740","96,961","215,861,390","26,035",범죄,15세이상관람가,일반영화
26,극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,"유야마 쿠니히코,사카키바라 모토노리",,(주)포켓몬코리아,(주)이수C&E,2020-09-30,개봉영화,장편,일본,591,"780,592,310","97,398","149,593,280","17,678",애니메이션,전체관람가,일반영화
27,페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,스도 토모노리,,(주)애니플러스,(주)애니플러스,2020-10-22,개봉영화,장편,일본,149,"701,708,430","77,314","262,758,910","27,583",애니메이션,15세이상관람가,일반영화
28,뉴 뮤턴트,조쉬 분,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2020-09-10,개봉영화,장편,미국,817,"546,115,880","61,897","164,593,910","18,270",액션,15세이상관람가,일반영화
29,극장판 바이올렛 에버가든,이시다테 타이치,,미라지엔터테인먼트,(주)라이크콘텐츠,2020-11-12,개봉영화,장편,일본,131,"500,241,620","58,653","164,494,660","18,122",애니메이션,전체관람가,독립/예술영화
30,극장판 미니특공대: 햄버거괴물의 습격,이영준,(주)삼지애니메이션,,(주)리틀빅픽쳐스,2020-09-30,개봉영화,장편,한국,414,"466,063,620","57,883","77,247,430","9,126",애니메이션,전체관람가,일반영화
31,프리키 데스데이,크리스토퍼 랜던,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2020-11-25,개봉영화,장편,미국,631,"451,260,690","51,816","128,273,640","14,722",코미디,청소년관람불가,일반영화
32,아웃포스트,로드 루리,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2020-09-23,개봉영화,장편,미국,454,"428,533,870","51,381","167,909,230","19,323",전쟁,15세이상관람가,일반영화
33,세자매,이승원,(주)영화사 업,,(주)리틀빅픽쳐스,2021-01-27,개봉영화,장편,한국,569,"354,451,240","42,290","110,117,100","12,825",드라마,15세이상관람가,독립/예술영화
34,다만 악에서 구하소서 파이널컷,홍원찬,(주)하이브미디어코프,,씨제이이앤엠(주),2020-10-28,개봉영화,장편,한국,475,"326,106,570","37,961","105,237,250","12,255",액션,청소년관람불가,일반영화
35,명탐정 코난: 진홍의 수학여행,야마모토 야스이치로,,씨제이이앤엠(주),씨제이이앤엠(주),2021-01-27,개봉영화,장편,일본,532,"316,132,440","38,131","61,262,750","7,166",애니메이션,12세이상관람가,일반영화
36,애프터: 그 후,로저 컴블,,판씨네마(주),판씨네마(주),2020-10-07,개봉영화,장편,미국,420,"304,956,040","36,962","102,372,690","12,502",멜로/로맨스,15세이상관람가,일반영화
37,뱅가드,당계례,,(주)엔케이컨텐츠,(주)디스테이션,2020-12-30,개봉영화,장편,중국,265,"265,893,700","31,546","64,605,900","7,759",액션,12세이상관람가,독립/예술영화
38,부활: 그 증거,김상철,파이오니아21,,(주)영화사 진진,2020-10-08,개봉영화,장편,한국,111,"236,483,600","29,153","47,493,200","5,734",다큐멘터리,전체관람가,독립/예술영화
39,"어디갔어, 버나뎃",리차드 링클레이터,,케이티하이텔(주),"(주)디스테이션,(주)엔케이컨텐츠",2020-10-08,개봉영화,장편,미국,253,"236,253,000","28,378","102,548,000","12,154",코미디,12세이상관람가,독립/예술영화
40,킹덤 오브 헤븐: 디렉터스 컷,리들리 스콧,,"(주)제이브로,포레스트",(주)영화사오원,2020-11-11,개봉영화,장편,영국,117,"230,971,600","25,153","118,553,900","12,497",액션,15세이상관람가,일반영화
41,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,하시모토 마사카즈,,씨제이이앤엠(주),씨제이이앤엠(주),2020-08-20,개봉영화,장편,일본,661,"221,664,710","27,094","36,558,650","4,171",애니메이션,전체관람가,일반영화
42,결백,박상현,(주)이디오플랜,,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티",2020-06-10,개봉영화,장편,한국,"1,112","217,070,000","28,172","217,070,000","28,172",드라마,15세이상관람가,일반영화
43,더 프롬,라이언 머피,,,메가박스중앙(주)플러스엠,2020-12-02,개봉영화,장편,미국,662,"213,920,730","24,635","84,028,530","9,478",코미디,12세이상관람가,일반영화
44,폰조,조쉬 트랭크,,"(주)스톰픽쳐스코리아,(주)팀원픽쳐스",(주)키다리이엔티,2020-10-14,개봉영화,장편,미국,574,"211,759,310","25,383","79,202,080","9,237",범죄,청소년관람불가,독립/예술영화
45,애비규환,최하나,"(주)아토,(주)모토",,(주)리틀빅픽쳐스,2020-11-12,개봉영화,장편,한국,453,"206,731,300","22,729","96,040,940","9,985",드라마,12세이상관람가,독립/예술영화
46,마리 퀴리,마르잔 사트라피,,(주)엔케이컨텐츠,(주)디스테이션,2020-11-18,개봉영화,장편,프랑스,484,"191,500,920","24,573","86,961,990","11,943",드라마,15세이상관람가,독립/예술영화
47,오케이 마담,이철하,"영화사올(주),(주)사나이픽처스",,메가박스중앙(주)플러스엠,2020-08-12,개봉영화,장편,한국,"1,288","189,866,710","23,486","50,819,820","7,059",코미디,15세이상관람가,일반영화
48,테슬라,마이클 알메레이다,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2020-10-28,개봉영화,장편,미국,460,"184,842,950","23,441","76,132,540","9,450",드라마,12세이상관람가,일반영화
49,에이바,테이트 테일러,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2020-09-09,개봉영화,장편,미국,515,"178,670,250","22,832","57,166,200","7,244",액션,15세이상관람가,일반영화
50,아이 엠 우먼,문은주,,"주식회사 풍경소리,(주)팝엔터테인먼트",(주)팝엔터테인먼트,2021-01-14,개봉영화,장편,호주,494,"177,552,770","21,913","77,537,630","10,395",드라마,15세이상관람가,독립/예술영화
51,극장판 바다 탐험대 옥토넛 : 대산호초 보호작전,,,(주)얼리버드픽쳐스,와이드 릴리즈(주),2020-11-12,개봉영화,장편,영국,187,"174,069,000","25,889","32,135,000","4,680",애니메이션,전체관람가,독립/예술영화
52,추억의 검정고무신,송정율,(주)대교 미디어콘텐츠사업본부,,(주)대교 미디어콘텐츠사업본부,2020-11-19,개봉영화,장편,한국,215,"162,083,100","20,113","29,092,500","3,247",애니메이션,전체관람가,독립/예술영화
53,블라인드,타마르 반 덴 도프,,"주식회사 컨텐츠썬,와이드 릴리즈(주)",주식회사 컨텐츠썬,2021-01-14,개봉영화,장편,네덜란드,239,"158,532,100","18,297","58,848,700","6,742",드라마,15세이상관람가,일반영화
54,돌멩이,김정식,(주)영화사테이크,,(주)리틀빅픽쳐스,2020-10-15,개봉영화,장편,한국,425,"146,373,400","17,632","53,950,130","6,044",드라마,12세이상관람가,독립/예술영화
55,마틴 에덴,피에트로 마르첼로,,알토미디어(주),알토미디어(주),2020-10-29,개봉영화,장편,이탈리아,60,"143,383,430","15,593","105,415,830","11,136",드라마,12세이상관람가,독립/예술영화
56,800,관후,,(주)퍼스트런,"TCO(주)더콘텐츠온,(주)디스테이션",2020-12-10,개봉영화,장편,중국,223,"141,710,200","16,626","43,872,500","5,010",전쟁,15세이상관람가,일반영화
57,해수의 아이,와타나베 아유무,,"(주)제이브로,포레스트",(주)영화사오원,2020-09-30,개봉영화,장편,일본,76,"139,987,850","15,211","77,304,740","7,749",애니메이션,전체관람가,독립/예술영화
58,택스 콜렉터,데이비드 에이어,,(주)콘텐츠게이트,(주)팝엔터테인먼트,2020-11-18,개봉영화,장편,미국,372,"138,525,250","18,197","67,039,760","9,579",액션,청소년관람불가,일반영화
59,#아이엠히어,에릭 라티고,,(주)콘텐츠판다,(주)넥스트엔터테인먼트월드(NEW),2021-01-14,개봉영화,장편,프랑스,432,"135,795,710","16,290","55,923,950","7,437",멜로/로맨스,12세이상관람가,독립/예술영화
60,100% 울프: 푸들이 될 순 없어,알렉스 스타더만,,찬란,(주)팝엔터테인먼트,2020-12-24,개봉영화,장편,호주,370,"134,490,620","17,089","24,462,560","2,967",애니메이션,전체관람가,독립/예술영화
61,파티마의 기적,마르코 폰테코르보,,(주)스톰픽쳐스코리아,(주)디스테이션,2020-12-03,개봉영화,장편,미국,162,"129,090,600","16,062","40,968,000","5,267",드라마,12세이상관람가,독립/예술영화
62,커넥트,제이콥 체이스,,씨제이이앤엠(주),(주)이수C&E,2021-01-20,개봉영화,장편,미국,386,"125,557,510","14,140","28,726,470","3,117",공포(호러),15세이상관람가,독립/예술영화
63,밥정,박혜령,(주)하얀소엔터테인먼트,,(주)엣나인필름,2020-10-07,개봉영화,장편,한국,182,"123,204,940","15,650","76,969,530","9,458",다큐멘터리,전체관람가,독립/예술영화
64,빅풋 주니어2: 패밀리가 떴다,"벤 스타센,제레미 드그루손",,(주)이수C&E,(주)이수C&E,2021-01-06,개봉영화,장편,기타,308,"121,664,630","14,682","23,235,840","2,601",애니메이션,전체관람가,일반영화
65,극장판 요괴워치: 포에버 프렌즈,타카하시 시게하루,,씨제이이앤엠(주),씨제이이앤엠(주),2020-10-15,개봉영화,장편,일본,423,"120,935,750","15,434","15,573,740","1,840",애니메이션,전체관람가,일반영화
66,가나의 혼인잔치: 언약,,,(재)CBS,"(재)CBS,주식회사 블루필름웍스",2020-11-26,개봉영화,장편,미국,116,"120,050,330","13,678","37,789,630","4,167",다큐멘터리,전체관람가,일반영화
67,나이팅게일,제니퍼 켄트,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2020-12-30,개봉영화,장편,호주,329,"112,682,610","13,702","35,213,240","4,301",스릴러,청소년관람불가,독립/예술영화
68,언플랜드,"척 콘젤만,캐리 솔로몬",,(주)달빛공장,(주)영화사오원,2020-12-17,개봉영화,장편,미국,281,"111,981,660","13,077","35,923,570","4,198",드라마,15세이상관람가,일반영화
69,극장판 엉덩이 탐정: 텐텐마을의 수수께끼,시바타 히로키,,에스엠지홀딩스 주식회사,(주)넥스트엔터테인먼트월드(NEW),2020-09-24,개봉영화,장편,일본,157,"109,191,540","14,799","21,351,240","2,745",애니메이션,전체관람가,일반영화
70,리플레이,데이비드 하인즈,,주식회사 모쿠슈라픽쳐스,(주)다자인소프트,2020-12-16,개봉영화,장편,미국,242,"103,182,310","12,692","56,517,660","6,934",드라마,12세이상관람가,독립/예술영화
71,걸후드,셀린 시아마,,(주)블루라벨픽쳐스,(주)영화특별시에스엠씨,2020-11-12,개봉영화,장편,프랑스,175,"98,925,000","11,409","52,746,500","6,282",드라마,12세이상관람가,독립/예술영화
72,미스터 존스,아그네츠카 홀란드,,(주)제이브로,(주)디오시네마,2021-01-07,개봉영화,장편,폴란드,277,"94,595,400","10,727","39,914,810","4,423",드라마,15세이상관람가,독립/예술영화
73,교실 안의 야크,,,주식회사 슈아픽처스,주식회사 슈아픽처스,2020-09-30,개봉영화,장편,기타,30,"93,716,210","11,059","61,505,580","6,721",드라마,전체관람가,독립/예술영화
74,강철비2 : 정상회담 확장판,양우석,(주)스튜디오게니우스우정,,롯데컬처웍스(주)롯데엔터테인먼트,2020-09-30,개봉영화,장편,한국,126,"89,922,500","18,306","28,311,500","7,243",드라마,15세이상관람가,일반영화
75,안티고네,소피 드라스프,,그린나래미디어(주),"그린나래미디어(주),(주)키다리이엔티",2020-11-19,개봉영화,장편,캐나다,130,"88,833,360","10,056","53,294,380","6,063",드라마,15세이상관람가,독립/예술영화
76,도망친 여자,홍상수,(주)영화제작전원사,,"(주)영화제작전원사 ,(주)콘텐츠판다",2020-09-17,개봉영화,장편,한국,143,"86,558,240","10,282","58,816,890","6,750",드라마,청소년관람불가,독립/예술영화
77,테스와 보낸 여름,스티븐 바우터루드,,에이케이엔터테인먼트(주),(주)팝엔터테인먼트,2020-09-10,개봉영화,장편,네덜란드,194,"84,421,250","9,459","46,726,440","5,009",드라마,전체관람가,독립/예술영화
78,잔칫날,김록경,스토리텔러 픽처스,,(주)트리플픽쳐스,2020-12-02,개봉영화,장편,한국,240,"83,221,060","10,806","31,181,890","4,166",드라마,12세이상관람가,독립/예술영화
79,썸머 85,프랑수아 오종,,찬란,찬란,2020-12-24,개봉영화,장편,기타,126,"81,822,490","9,318","49,732,590","5,406",멜로/로맨스,15세이상관람가,독립/예술영화
80,요가학원 : 죽음의 쿤달리니,"전재홍,김지한","(주)트리니티엔터테인먼트,오퍼스픽쳐스(유)",,(주)스마일이엔티,2020-11-18,개봉영화,장편,한국,267,"79,973,140","9,128","24,544,080","2,721",공포(호러),청소년관람불가,일반영화
81,나는 나를 해고하지 않는다,이태겸,"(주)홍시쥔,아트 윙",,(주)영화사 진진,2021-01-28,개봉영화,장편,한국,313,"76,303,260","9,660","35,748,040","4,539",드라마,12세이상관람가,독립/예술영화
82,토이 솔져스: 가짜사나이2 더 컴플리트,오윤동,씨제이포디플렉스 주식회사,,씨제이포디플렉스 주식회사,2021-01-27,개봉영화,장편,한국,155,"75,326,300","7,991","20,692,500","2,126",다큐멘터리,15세이상관람가,일반영화
83,완벽한 가족,로저 미첼,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2021-01-06,개봉영화,장편,미국,318,"75,268,460","8,659","25,792,630","2,828",드라마,15세이상관람가,독립/예술영화
84,마이 리틀 포니: 레인보우 로드 트립,,,케이티하이텔(주),(주)박수엔터테인먼트,2020-10-29,개봉영화,장편,미국,226,"75,109,740","9,498","13,928,600","1,570",애니메이션,전체관람가,일반영화
85,남매의 여름밤,윤단비,오누필름,,그린나래미디어(주),2020-08-20,개봉영화,장편,한국,133,"74,408,642","8,704","53,192,682","5,916",드라마,전체관람가,독립/예술영화
86,카일라스 가는 길,정형민,빅트리,,(주)영화사 진진,2020-09-03,개봉영화,장편,한국,47,"71,290,540","9,389","33,524,330","4,203",다큐멘터리,전체관람가,독립/예술영화
87,피아니스트의 마지막 인터뷰,클로드 라롱드,,판씨네마(주),판씨네마(주),2020-11-19,개봉영화,장편,캐나다,55,"70,499,160","8,418","43,985,070","5,012",드라마,전체관람가,독립/예술영화
88,부니베어: 원시시대 대모험,정량,,(주)영화공간,(주)라이크콘텐츠,2020-10-22,개봉영화,장편,중국,216,"69,146,700","8,918","6,241,200",720,애니메이션,전체관람가,독립/예술영화
89,고스트 오브 워,에릭 브레스,,"(주)스톰픽쳐스코리아,(주)팀원픽쳐스",THE 픽쳐스,2020-09-02,개봉영화,장편,영국,228,"64,089,960","7,531","20,411,970","2,350",미스터리,15세이상관람가,독립/예술영화
90,종이꽃,고훈,"(주)로드픽쳐스,㈜스토리셋",,(주)스튜디오 보난자,2020-10-22,개봉영화,장편,한국,256,"61,388,310","7,323","23,165,270","2,624",드라마,12세이상관람가,독립/예술영화
91,미드나이트 스카이,조지 클루니,,,메가박스중앙(주)플러스엠,2020-12-09,개봉영화,장편,미국,257,"61,177,160","7,101","25,146,210","2,891",드라마,12세이상관람가,독립/예술영화
92,더 렌탈 : 소리없는 감시자,데이브 프랑코,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2020-09-16,개봉영화,장편,미국,245,"60,294,280","7,476","19,305,990","2,363",공포(호러),15세이상관람가,일반영화
93,마이 미씽 발렌타인,진옥훈,,주식회사 디에스이이디,(주)트리플픽쳐스,2021-01-14,개봉영화,장편,기타,153,"59,948,070","7,796","25,595,930","3,370",멜로/로맨스,12세이상관람가,독립/예술영화
