순번,영화명,감독,distribution,date,영화유형,국적,country,num_screen,sales,view,sales_seoul,view_seoul,genre,genre2,등급,grade,영화구분
1,다만 악에서 구하소서,홍원찬,2,2020-08-05,개봉영화,한국,Korea,1998,377219673,42557,86904162,958007,criminal,criminal,15세이상관람가,0,일반영화
2,반도,연상호,2,2020-07-15,개봉영화,한국,Korea,2575,330595203,38103,79965058,893723,action,action,15세이상관람가,0,일반영화
3,#살아있다,조일형,2,2020-06-24,개봉영화,한국,Korea,1882,159653299,19037,38853038,476332,drama,drama,15세이상관람가,0,일반영화
4,담보,강대규,2,2020-09-29,개봉영화,한국,Korea,1342,147504806,17198,26895815,305921,drama,drama,12세이상관람가,0,일반영화
5,강철비2: 정상회담,양우석,2,2020-07-29,개봉영화,한국,Korea,2137,146282067,17805,34513218,431963,drama,drama,15세이상관람가,0,일반영화
6,삼진그룹 영어토익반,이종필,2,2020-10-21,개봉영화,한국,Korea,1616,139861389,15718,39461539,444282,drama,drama,12세이상관람가,0,일반영화
7,도굴,박정배,2,2020-11-04,개봉영화,한국,Korea,1635,139476647,15438,32358323,355865,criminal,criminal,12세이상관람가,0,일반영화
8,테넷,크리스토퍼 놀란,1,2020-08-26,개봉영화,북아메리카,NorthAmerica,2228,119628859,12841,45964735,464556,action,action,12세이상관람가,0,일반영화
9,오케이 마담,이철하,1,2020-08-12,개봉영화,한국,Korea,1288,107900212,12052,21123884,231120,comedy,comedy,15세이상관람가,0,일반영화
10,소울,피트 닥터,2,2021-01-20,개봉영화,북아메리카,NorthAmerica,2018,79363329,8750,25788810,275009,animation,animation,전체관람가,0,일반영화
11,결백,박상현,1,2020-06-10,개봉영화,한국,Korea,1112,76410293,8657,16946307,189284,drama,drama,15세이상관람가,0,일반영화
12,테넷,크리스토퍼 놀란,1,2020-08-26,개봉영화,북아메리카,NorthAmerica,2228,64963933,7144,20504319,216041,action,action,12세이상관람가,0,일반영화
13,원더 우먼 1984,팻티 젠킨스,1,2020-12-23,개봉영화,북아메리카,NorthAmerica,2260,49356555,5466,14576935,154656,action,action,12세이상관람가,0,일반영화
14,침입자,손원평,1,2020-06-04,개봉영화,한국,Korea,1365,48063140,5312,10293687,110923,mystery,others,15세이상관람가,0,일반영화
15,국제수사,김봉한,2,2020-09-29,개봉영화,한국,Korea,1074,44965498,5375,8680034,103185,comedy,comedy,15세이상관람가,0,일반영화
16,1917,샘 멘데스,0,2020-02-19,개봉영화,북아메리카,NorthAmerica,932,41611244,4648,16421806,176208,drama,drama,15세이상관람가,0,일반영화
17,인비저블맨,리 워넬,1,2020-02-26,개봉영화,북아메리카,NorthAmerica,776,40421026,4592,12398526,136977,horror,others,15세이상관람가,0,일반영화
18,이웃사촌,이환경,0,2020-11-25,개봉영화,한국,Korea,1363,37082238,4314,7758030,91262,drama,drama,12세이상관람가,0,일반영화
19,온워드: 단 하루의 기적,댄 스캔론,2,2020-06-17,개봉영화,북아메리카,NorthAmerica,1138,35813351,4167,11087375,122318,animation,animation,전체관람가,0,일반영화
20,소리도 없이,홍의정,1,2020-10-15,개봉영화,한국,Korea,1084,35586229,4034,8430760,93396,criminal,criminal,15세이상관람가,0,일반영화
21,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",,2,2020-09-29,개봉영화,한국,Korea,106,31299740,1020,9867305,31301,show,others,전체관람가,0,일반영화
22,오! 문희,정세교,0,2020-09-02,개봉영화,한국,Korea,1110,27987586,3512,5913542,73973,comedy,comedy,12세이상관람가,0,일반영화
23,그린랜드,릭 로먼 워,0,2020-09-29,개봉영화,북아메리카,NorthAmerica,779,27777245,3259,6796460,79147,action,action,12세이상관람가,0,일반영화
24,런,아니쉬 차간티,0,2020-11-20,개봉영화,북아메리카,NorthAmerica,799,26032624,2836,8031797,86674,mystery,others,15세이상관람가,0,일반영화
25,내가 죽던 날,박지완,1,2020-11-12,개봉영화,한국,Korea,909,21353960,2331,5498366,58772,drama,drama,12세이상관람가,0,일반영화
26,뮬란,니키 카로,2,2020-09-17,개봉영화,북아메리카,NorthAmerica,1420,20797376,2362,6007040,65400,adventure,others,12세이상관람가,0,일반영화
27,조제,김종관,1,2020-12-10,개봉영화,한국,Korea,1179,18844315,2100,4682265,51461,romance,romance,15세이상관람가,0,일반영화
28,프리즌 이스케이프,,0,2020-05-06,개봉영화,유럽,others,328,18482976,2171,5564777,63837,adventure,others,12세이상관람가,0,독립/예술영화
29,극장판 귀멸의 칼날: 무한열차편,소토자키 하루오,0,2021-01-27,개봉영화,아시아,others,380,18201027,2063,5073607,54677,animation,animation,15세이상관람가,0,일반영화
30,사라진 시간,정진영,1,2020-06-18,개봉영화,한국,Korea,874,16511886,1857,3887626,43314,mystery,others,15세이상관람가,0,일반영화
31,검객,최재훈,0,2020-09-23,개봉영화,한국,Korea,832,16197819,1902,3158617,36965,action,action,15세이상관람가,0,일반영화
32,밤쉘: 세상을 바꾼 폭탄선언,제이 로치,0,2020-07-08,개봉영화,북아메리카,NorthAmerica,882,15184283,1790,6680602,77431,drama,drama,15세이상관람가,0,독립/예술영화
33,미스터트롯: 더 무비,전수경,0,2020-10-22,개봉영화,한국,Korea,449,12886131,1501,3563261,41283,show,others,전체관람가,0,일반영화
34,지푸라기라도 잡고 싶은 짐승들,김용훈,1,2020-02-19,개봉영화,한국,Korea,996,12324533,1398,3584709,39768,thriller,others,청소년관람불가,1,일반영화
35,트롤: 월드 투어,"월트 도른,데이빗 P.스미스",1,2020-04-29,개봉영화,북아메리카,NorthAmerica,344,11680003,1522,3039960,37939,animation,animation,전체관람가,0,일반영화
36,브레이크 더 사일런스: 더 무비,박준수,0,2020-09-24,개봉영화,한국,Korea,205,11602490,1317,3773290,41301,documentary,others,전체관람가,0,일반영화
37,다크 워터스,토드 헤인즈,0,2020-03-11,개봉영화,북아메리카,NorthAmerica,575,10966577,1273,3839812,43314,drama,drama,12세이상관람가,0,독립/예술영화
38,애니멀 크래커,토니 밴크로프트,0,2020-08-05,개봉영화,북아메리카,NorthAmerica,473,10237053,1290,1510655,17842,animation,animation,전체관람가,0,독립/예술영화
39,언힌지드,데릭 보트,0,2020-10-07,개봉영화,북아메리카,NorthAmerica,676,10160372,1181,3025523,35166,thriller,others,청소년관람불가,1,일반영화
40,언더워터,윌리엄 유뱅크,2,2020-05-27,개봉영화,북아메리카,NorthAmerica,594,9371128,1092,2598892,29571,thriller,others,15세이상관람가,0,일반영화
41,디바,조슬예,1,2020-09-23,개봉영화,한국,Korea,831,9017174,1081,2581753,31164,thriller,others,15세이상관람가,0,일반영화
42,기기괴괴 성형수,조경훈,0,2020-09-09,개봉영화,한국,Korea,276,8716296,1033,2872385,36203,horror,others,15세이상관람가,0,독립/예술영화
43,죽지않는 인간들의 밤,신정원,0,2020-09-29,개봉영화,한국,Korea,570,8402174,1016,2349554,27911,comedy,comedy,15세이상관람가,0,일반영화
44,다만 악에서 구하소서,홍원찬,2,2020-08-05,개봉영화,한국,Korea,1998,8325607,970,2158614,26035,criminal,criminal,15세이상관람가,0,일반영화
45,정직한 후보,장유정,2,2020-02-12,개봉영화,한국,Korea,1187,8285661,1093,2329927,30341,comedy,comedy,12세이상관람가,0,일반영화
46,작은 아씨들,그레타 거윅,1,2020-02-12,개봉영화,북아메리카,NorthAmerica,1105,8256625,967,3730051,42804,drama,drama,전체관람가,0,일반영화
47,레이니 데이 인 뉴욕,우디 앨런,0,2020-05-06,개봉영화,북아메리카,NorthAmerica,563,7842722,884,3381032,37178,comedy,comedy,15세이상관람가,0,독립/예술영화
48,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,하시모토 마사카즈,2,2020-08-20,개봉영화,아시아,others,661,7830868,962,1000379,11640,animation,animation,전체관람가,0,일반영화
49,극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,"유야마 쿠니히코,사카키바라 모토노리",0,2020-09-30,개봉영화,아시아,others,591,7805923,974,1495933,17678,animation,animation,전체관람가,0,일반영화
50,저 산 너머,최종태,0,2020-04-30,개봉영화,한국,Korea,468,7726853,1035,2304470,32623,drama,drama,12세이상관람가,0,일반영화
51,주디,루퍼트 굴드,0,2020-03-25,개봉영화,유럽,others,479,7388518,897,3233611,38273,drama,drama,12세이상관람가,0,독립/예술영화
52,나의 청춘은 너의 것,"주동,대몽영",0,2020-04-29,개봉영화,아시아,others,533,7148925,844,2050567,23586,romance,romance,12세이상관람가,0,독립/예술영화
53,페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,스도 토모노리,0,2020-10-22,개봉영화,아시아,others,149,7017084,773,2627589,27583,animation,animation,15세이상관람가,0,일반영화
54,에어로너츠,톰 하퍼,0,2020-06-10,개봉영화,유럽,others,534,6911885,799,2844648,32538,drama,drama,12세이상관람가,0,독립/예술영화
55,소리꾼,조정래,0,2020-07-01,개봉영화,한국,Korea,573,6421207,792,1836958,22306,history,others,12세이상관람가,0,일반영화
56,엽문4: 더 파이널,엽위신,0,2020-04-01,개봉영화,아시아,others,206,6305563,729,1827380,20918,action,action,12세이상관람가,0,독립/예술영화
57,더 플랫폼,,0,2020-05-13,개봉영화,유럽,others,228,6037150,659,2124662,23133,SF,others,청소년관람불가,1,독립/예술영화
58,호텔 레이크,윤은경,0,2020-04-29,개봉영화,한국,Korea,465,5922232,700,1160309,13345,horror,others,15세이상관람가,0,독립/예술영화
59,소년시절의 너,증국상,0,2020-07-09,개봉영화,아시아,others,252,5887237,684,2531294,28875,romance,romance,15세이상관람가,0,독립/예술영화
60,빅샤크3: 젤리몬스터 대소동,신우,0,2020-07-29,개봉영화,아시아,others,400,5622207,728,626205,7772,animation,animation,전체관람가,0,일반영화
61,카페 벨에포크,니콜라스 베도스,0,2020-05-20,개봉영화,유럽,others,463,5494559,660,2686908,32387,comedy,comedy,15세이상관람가,0,독립/예술영화
62,뉴 뮤턴트,조쉬 분,2,2020-09-10,개봉영화,북아메리카,NorthAmerica,817,5461159,619,1645939,18270,action,action,15세이상관람가,0,일반영화
63,아이즈 온 미 : 더 무비,박재석,2,2020-06-10,개봉영화,한국,Korea,124,5062740,392,2022485,15630,show,others,전체관람가,0,일반영화
64,극장판 바이올렛 에버가든,이시다테 타이치,0,2020-11-12,개봉영화,아시아,others,131,5002416,587,1644947,18122,animation,animation,전체관람가,0,독립/예술영화
65,마이 스파이,피터 시걸,0,2020-04-29,개봉영화,북아메리카,NorthAmerica,240,4825945,563,1655726,19676,action,action,12세이상관람가,0,일반영화
66,나의 첫 번째 슈퍼스타,니샤 가나트라,1,2020-06-10,개봉영화,북아메리카,NorthAmerica,462,4739194,537,1895101,21533,comedy,comedy,12세이상관람가,0,일반영화
67,극장판 미니특공대: 햄버거괴물의 습격,이영준,0,2020-09-30,개봉영화,한국,Korea,414,4660636,579,772474,9126,animation,animation,전체관람가,0,일반영화
68,프리키 데스데이,크리스토퍼 랜던,1,2020-11-25,개봉영화,북아메리카,NorthAmerica,631,4512607,518,1282736,14722,comedy,comedy,청소년관람불가,1,일반영화
69,더 프린세스 : 도둑맞은 공주,올레말라므,0,2020-08-12,개봉영화,유럽,others,423,4450531,545,606743,7007,animation,animation,전체관람가,0,일반영화
70,아웃포스트,로드 루리,0,2020-09-23,개봉영화,북아메리카,NorthAmerica,454,4285339,514,1679092,19323,war,others,15세이상관람가,0,일반영화
71,날씨의 아이,신카이 마코토,0,2019-10-30,개봉영화,아시아,others,716,4012727,534,1608805,20847,animation,animation,15세이상관람가,0,일반영화
72,스케어리 스토리:어둠의 속삭임,안드레 외브레달,0,2020-03-25,개봉영화,북아메리카,NorthAmerica,186,3754924,450,1230440,14557,fantasy,others,15세이상관람가,0,일반영화
73,세자매,이승원,0,2021-01-27,개봉영화,한국,Korea,569,3544512,423,1101171,12825,drama,drama,15세이상관람가,0,독립/예술영화
74,젠틀맨,가이 리치,0,2020-02-26,개봉영화,북아메리카,NorthAmerica,586,3436473,396,1517750,17080,criminal,criminal,청소년관람불가,1,일반영화
75,다만 악에서 구하소서 파이널컷,홍원찬,2,2020-10-28,개봉영화,한국,Korea,475,3261066,380,1052373,12255,action,action,청소년관람불가,1,일반영화
76,명탐정 코난: 진홍의 수학여행,야마모토 야스이치로,2,2021-01-27,개봉영화,아시아,others,532,3161324,381,612628,7166,animation,animation,12세이상관람가,0,일반영화
77,야구소녀,최윤태,0,2020-06-18,개봉영화,한국,Korea,264,3152367,368,1774743,19821,drama,drama,12세이상관람가,0,독립/예술영화
78,콜 오브 와일드,크리스 샌더스,2,2020-05-14,개봉영화,북아메리카,NorthAmerica,505,3061185,362,924277,10807,adventure,others,12세이상관람가,0,일반영화
79,애프터: 그 후,로저 컴블,0,2020-10-07,개봉영화,북아메리카,NorthAmerica,420,3049560,370,1023727,12502,romance,romance,15세이상관람가,0,일반영화
80,반교: 디텐션,존 쉬,0,2020-08-13,개봉영화,기타,others,128,3035031,330,995350,10494,horror,others,15세이상관람가,0,독립/예술영화
81,서치 아웃,곽정,0,2020-04-15,개봉영화,한국,Korea,355,2971670,341,644297,7283,thriller,others,15세이상관람가,0,독립/예술영화
82,오픈 더 도어,올가 고로데츠카야,0,2020-04-08,개봉영화,유럽,others,184,2867021,318,962274,10487,horror,others,15세이상관람가,0,일반영화
83,톰보이,셀린 시아마,0,2020-05-14,개봉영화,유럽,others,361,2680536,298,1625548,17239,drama,drama,12세이상관람가,0,독립/예술영화
84,뱅가드,당계례,0,2020-12-30,개봉영화,아시아,others,265,2658937,315,646059,7759,action,action,12세이상관람가,0,독립/예술영화
85,건즈 아킴보,제이슨 레이 하우덴,0,2020-04-15,개봉영화,유럽,others,181,2447310,279,903230,10314,action,action,청소년관람불가,1,독립/예술영화
86,그집,,0,2020-05-27,개봉영화,유럽,others,392,2382585,287,530735,6562,horror,others,15세이상관람가,0,독립/예술영화
87,부활: 그 증거,김상철,0,2020-10-08,개봉영화,한국,Korea,111,2364836,292,474932,5734,documentary,others,전체관람가,0,독립/예술영화
88,"어디갔어, 버나뎃",리차드 링클레이터,0,2020-10-08,개봉영화,북아메리카,NorthAmerica,253,2362530,284,1025480,12154,comedy,comedy,12세이상관람가,0,독립/예술영화
89,기생충,봉준호,2,2019-05-30,개봉영화,한국,Korea,1948,2348968,293,906013,11102,drama,drama,15세이상관람가,0,일반영화
90,미스비헤이비어,필립파 로소프,0,2020-05-27,개봉영화,유럽,others,378,2344219,289,1067004,12991,drama,drama,15세이상관람가,0,독립/예술영화
91,파리의 인어,마티아스 마르지유,0,2020-07-23,개봉영화,유럽,others,204,2322735,276,892365,10552,romance,romance,12세이상관람가,0,독립/예술영화
92,더 보이 2: 돌아온 브람스,윌리엄 브렌트 벨,0,2020-03-05,개봉영화,북아메리카,NorthAmerica,179,2311520,265,799280,9271,horror,others,15세이상관람가,0,일반영화
93,킹덤 오브 헤븐: 디렉터스 컷,리들리 스콧,0,2020-11-11,개봉영화,유럽,others,117,2309716,252,1185539,12497,action,action,15세이상관람가,0,일반영화
94,n번째 이별 중,,0,2020-04-01,개봉영화,북아메리카,NorthAmerica,171,2253588,249,872967,9615,romance,romance,12세이상관람가,0,독립/예술영화
95,찬실이는 복도 많지,김초희,0,2020-03-05,개봉영화,한국,Korea,241,2245240,262,1409370,15801,drama,drama,전체관람가,0,독립/예술영화
96,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,하시모토 마사카즈,2,2020-08-20,개봉영화,아시아,others,661,2216647,271,365587,4171,animation,animation,전체관람가,0,일반영화
97,결백,박상현,1,2020-06-10,개봉영화,한국,Korea,1112,2170700,282,2170700,28172,drama,drama,15세이상관람가,0,일반영화
98,더 프롬,라이언 머피,1,2020-12-02,개봉영화,북아메리카,NorthAmerica,662,2139207,246,840285,9478,comedy,comedy,12세이상관람가,0,일반영화
99,폰조,조쉬 트랭크,0,2020-10-14,개봉영화,북아메리카,NorthAmerica,574,2117593,254,792021,9237,criminal,criminal,청소년관람불가,1,독립/예술영화
100,애비규환,최하나,0,2020-11-12,개봉영화,한국,Korea,453,2067313,227,960409,9985,drama,drama,12세이상관람가,0,독립/예술영화
101,블루 아워,하코타 유코,0,2020-07-22,개봉영화,아시아,others,322,2025816,238,1176343,13168,drama,drama,12세이상관람가,0,독립/예술영화
102,캣츠토피아,게리 왕,0,2020-04-30,개봉영화,아시아,others,367,2012232,240,291532,3370,fantasy,others,전체관람가,0,독립/예술영화
103,비바리움,,0,2020-07-16,개봉영화,북아메리카,NorthAmerica,129,1953041,238,805589,9082,mystery,others,15세이상관람가,0,독립/예술영화
104,울프 콜,안토닌 보드리,0,2020-03-05,개봉영화,유럽,others,336,1920616,232,609719,7334,action,action,15세이상관람가,0,독립/예술영화
105,마리 퀴리,마르잔 사트라피,0,2020-11-18,개봉영화,유럽,others,484,1915009,246,869620,11943,drama,drama,15세이상관람가,0,독립/예술영화
106,오케이 마담,이철하,1,2020-08-12,개봉영화,한국,Korea,1288,1898667,235,508198,7059,comedy,comedy,15세이상관람가,0,일반영화
107,테슬라,마이클 알메레이다,0,2020-10-28,개봉영화,북아메리카,NorthAmerica,460,1848430,234,761325,9450,drama,drama,12세이상관람가,0,일반영화
108,유령선,김지영,0,2020-04-15,개봉영화,한국,Korea,165,1819339,208,682073,7684,documentary,others,12세이상관람가,0,독립/예술영화
109,인베이젼 2020,표도르 본다르추크,0,2020-07-01,개봉영화,유럽,others,354,1791353,216,460984,5411,SF,others,12세이상관람가,0,일반영화
110,에이바,테이트 테일러,0,2020-09-09,개봉영화,북아메리카,NorthAmerica,515,1786703,228,571662,7244,action,action,15세이상관람가,0,일반영화
111,아이 엠 우먼,문은주,0,2021-01-14,개봉영화,호주,others,494,1775528,219,775376,10395,drama,drama,15세이상관람가,0,독립/예술영화
112,팬데믹,,0,2020-07-22,개봉영화,북아메리카,NorthAmerica,382,1761820,204,395185,4459,thriller,others,15세이상관람가,0,독립/예술영화
113,극장판 바다 탐험대 옥토넛 : 대산호초 보호작전,,0,2020-11-12,개봉영화,유럽,others,187,1740690,259,321350,4680,animation,animation,전체관람가,0,독립/예술영화
114,비밀정보원: 인 더 프리즌,안드레아 디 스테파노,0,2020-04-15,개봉영화,유럽,others,200,1725889,203,649646,7585,criminal,criminal,청소년관람불가,1,일반영화
115,레미제라블: 뮤지컬 콘서트,제임스 파우웰,1,2020-05-13,개봉영화,북아메리카,NorthAmerica,339,1629219,124,681749,5768,musical,others,12세이상관람가,0,일반영화
116,추억의 검정고무신,송정율,0,2020-11-19,개봉영화,한국,Korea,215,1620831,201,290925,3247,animation,animation,전체관람가,0,독립/예술영화
117,블라인드,타마르 반 덴 도프,0,2021-01-14,개봉영화,유럽,others,239,1585321,183,588487,6742,drama,drama,15세이상관람가,0,일반영화
118,애프터 웨딩 인 뉴욕,바트 프룬디치,0,2020-04-23,개봉영화,유럽,others,169,1573463,192,911692,11103,drama,drama,12세이상관람가,0,독립/예술영화
119,더 터닝,플로리아 시지스몬디,0,2020-04-02,개봉영화,북아메리카,NorthAmerica,294,1541979,175,556481,6194,mystery,others,15세이상관람가,0,독립/예술영화
120,돌멩이,김정식,0,2020-10-15,개봉영화,한국,Korea,425,1463734,176,539501,6044,drama,drama,12세이상관람가,0,독립/예술영화
121,마틴 에덴,피에트로 마르첼로,0,2020-10-29,개봉영화,유럽,others,60,1433834,156,1054158,11136,drama,drama,12세이상관람가,0,독립/예술영화
122,800,관후,0,2020-12-10,개봉영화,아시아,others,223,1417102,166,438725,5010,war,others,15세이상관람가,0,일반영화
123,킹덤,사토 신스케,0,2020-04-29,개봉영화,아시아,others,186,1409375,177,448370,5614,action,action,15세이상관람가,0,일반영화
124,해수의 아이,와타나베 아유무,0,2020-09-30,개봉영화,아시아,others,76,1399879,152,773047,7749,animation,animation,전체관람가,0,독립/예술영화
125,택스 콜렉터,데이비드 에이어,0,2020-11-18,개봉영화,북아메리카,NorthAmerica,372,1385253,182,670398,9579,action,action,청소년관람불가,1,일반영화
126,아홉 스님,윤성준,0,2020-05-27,개봉영화,한국,Korea,141,1376252,223,706320,13607,drama,drama,전체관람가,0,독립/예술영화
127,#아이엠히어,에릭 라티고,2,2021-01-14,개봉영화,유럽,others,432,1357957,163,559240,7437,romance,romance,12세이상관람가,0,독립/예술영화
128,100% 울프: 푸들이 될 순 없어,알렉스 스타더만,0,2020-12-24,개봉영화,호주,others,370,1344906,171,244626,2967,animation,animation,전체관람가,0,독립/예술영화
129,프랑스여자,김희정,2,2020-06-04,개봉영화,한국,Korea,244,1292304,181,518252,6765,drama,drama,15세이상관람가,0,독립/예술영화
130,파티마의 기적,마르코 폰테코르보,0,2020-12-03,개봉영화,북아메리카,NorthAmerica,162,1290906,161,409680,5267,drama,drama,12세이상관람가,0,독립/예술영화
131,초미의 관심사,남연우,0,2020-05-27,개봉영화,한국,Korea,380,1286984,161,482368,5682,drama,drama,15세이상관람가,0,독립/예술영화
132,커넥트,제이콥 체이스,0,2021-01-20,개봉영화,북아메리카,NorthAmerica,386,1255575,141,287265,3117,horror,others,15세이상관람가,0,독립/예술영화
133,시원찮은 그녀를 위한 육성방법 피날레,,0,2020-02-27,개봉영화,아시아,others,71,1234793,149,536863,6328,animation,animation,12세이상관람가,0,일반영화
134,밥정,박혜령,0,2020-10-07,개봉영화,한국,Korea,182,1232049,157,769695,9458,documentary,others,전체관람가,0,독립/예술영화
135,빅풋 주니어2: 패밀리가 떴다,"벤 스타센,제레미 드그루손",0,2021-01-06,개봉영화,기타,others,308,1216646,147,232358,2601,animation,animation,전체관람가,0,일반영화
136,극장판 요괴워치: 포에버 프렌즈,타카하시 시게하루,2,2020-10-15,개봉영화,아시아,others,423,1209358,154,155737,1840,animation,animation,전체관람가,0,일반영화
137,가나의 혼인잔치: 언약,,0,2020-11-26,개봉영화,북아메리카,NorthAmerica,116,1200503,137,377896,4167,documentary,others,전체관람가,0,일반영화
138,나이팅게일,제니퍼 켄트,0,2020-12-30,개봉영화,호주,others,329,1126826,137,352132,4301,thriller,others,청소년관람불가,1,독립/예술영화
139,부활,구수환,0,2020-07-09,개봉영화,한국,Korea,83,1125965,144,356305,4343,documentary,others,전체관람가,0,일반영화
140,언플랜드,"척 콘젤만,캐리 솔로몬",0,2020-12-17,개봉영화,북아메리카,NorthAmerica,281,1119817,131,359236,4198,drama,drama,15세이상관람가,0,일반영화
141,엔딩스 비기닝스,드레이크 도리머스,2,2020-06-24,개봉영화,북아메리카,NorthAmerica,251,1101809,134,425672,5064,drama,drama,15세이상관람가,0,독립/예술영화
142,너는 달밤에 빛나고,츠키카와 쇼,0,2020-06-10,개봉영화,아시아,others,178,1095780,124,396045,4378,romance,romance,12세이상관람가,0,독립/예술영화
143,세인트 아가타,대런 린 보우즈만,0,2020-03-19,개봉영화,북아메리카,NorthAmerica,390,1094601,125,322002,3603,horror,others,청소년관람불가,1,독립/예술영화
144,극장판 엉덩이 탐정: 텐텐마을의 수수께끼,시바타 히로키,2,2020-09-24,개봉영화,아시아,others,157,1091915,148,213512,2745,animation,animation,전체관람가,0,일반영화
145,라라걸,레이첼 그리피스,0,2020-04-15,개봉영화,호주,others,187,1086845,128,601810,6862,drama,drama,전체관람가,0,독립/예술영화
146,마티아스와 막심,자비에 돌란,0,2020-07-23,개봉영화,북아메리카,NorthAmerica,91,1041834,117,799294,8454,drama,drama,15세이상관람가,0,독립/예술영화
147,바이올렛 에버가든 ? 영원과 자동 수기 인형 -,후지타 하루카,0,2020-03-26,개봉영화,아시아,others,62,1040915,119,439785,4790,animation,animation,전체관람가,0,독립/예술영화
148,리플레이,데이비드 하인즈,0,2020-12-16,개봉영화,북아메리카,NorthAmerica,242,1031823,127,565177,6934,drama,drama,12세이상관람가,0,독립/예술영화
149,사랑하고 있습니까,김정권,0,2020-03-25,개봉영화,한국,Korea,295,1026738,129,333058,4066,fantasy,others,12세이상관람가,0,일반영화
150,남매의 여름밤,윤단비,0,2020-08-20,개봉영화,한국,Korea,133,1021550,125,635754,7567,drama,drama,전체관람가,0,독립/예술영화
151,그레텔과 헨젤,오즈 퍼킨스,0,2020-07-08,개봉영화,북아메리카,NorthAmerica,325,1014645,116,265077,2936,fantasy,others,15세이상관람가,0,일반영화
152,슈퍼스타 뚜루,,0,2020-06-04,개봉영화,유럽,others,300,1013060,131,91592,1065,musical,others,전체관람가,0,일반영화
153,킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-,히시다 마사카즈,0,2020-04-02,개봉영화,아시아,others,55,996675,124,672804,8107,animation,animation,12세이상관람가,0,일반영화
